charger id,id,lat,lon,amenity,tags,name,shop type
1638722815,2863454805,-31.935493,115.8712811,,"{'name': 'adultshop.com', 'shop': 'erotic'}",adultshop.com,erotic
1638722815,8600878645,-31.9354655,115.8713714,restaurant,"{'addr:housenumber': '609', 'addr:postcode': '6050', 'addr:state': 'WA', 'addr:street': 'Beaufort Street', 'addr:suburb': 'Mount Lawley', 'addr:unit': '7', 'amenity': 'restaurant', 'cuisine': 'burger', 'name': 'Meet & Bun', 'opening_hours': 'Tu-Su 11:30-21:00', 'phone': '+61 8 9025 4000', 'website': 'https://www.meetandbun.com.au/'}",Meet & Bun,
1638722815,8600878646,-31.9353879,115.8714235,restaurant,"{'addr:housenumber': '609', 'addr:postcode': '6050', 'addr:state': 'WA', 'addr:street': 'Beaufort Street', 'addr:suburb': 'Mount Lawley', 'addr:unit': '4', 'amenity': 'restaurant', 'cuisine': 'thai', 'name': 'Little B', 'opening_hours': 'Su-Th 11:30-21:00, Fr-Sa 11:30-21:30', 'phone': '+61 436 353 635', 'website': 'https://www.little-b.com.au/'}",Little B,
1638722815,8600878647,-31.9355709,115.8711991,restaurant,"{'addr:housenumber': '607', 'addr:postcode': '6050', 'addr:state': 'WA', 'addr:street': 'Beaufort Street', 'addr:suburb': 'Mount Lawley', 'amenity': 'restaurant', 'cuisine': 'indian', 'name': '2 Fat Indians', 'opening_hours': 'Mo-Su 17:00-22:00', 'phone': '+61 487 173 477', 'website': 'https://twofatindians.com.au/'}",2 Fat Indians,
1638722815,9694280411,-31.9354852,115.8710338,cafe,"{'amenity': 'cafe', 'name': 'Viaje Coffee'}",Viaje Coffee,
1638722815,9706427391,-31.935762,115.8707045,restaurant,"{'amenity': 'restaurant', 'name': 'TME Bento + Rolls', 'opening_hours': 'Mo-Th 11:30-19:30; Fr,Sa 11:30-20:00', 'phone': '+61 8 6269 1705', 'source:opening_hours': 'https://flic.kr/p/2nhJr5W'}",TME Bento + Rolls,
1638722815,9706437217,-31.9357617,115.8708028,,"{'beauty': 'tanning', 'name': 'Gingerella Rox Brown Bar', 'shop': 'beauty', 'survey:date': '2022-05-01'}",Gingerella Rox Brown Bar,beauty
1638722815,9706437218,-31.9357614,115.8710567,cafe,"{'amenity': 'cafe', 'name': 'That Green Cafe', 'survey:date': '2022-05-01', 'wheelchair': 'yes'}",That Green Cafe,
1638722815,9706437219,-31.9356521,115.8715859,,"{'name': 'Mconsulting', 'office': 'accountant', 'survey:date': '2022-05-01'}",Mconsulting,
1638722815,9706437220,-31.9356994,115.8715553,,"{'leisure': 'fitness_centre', 'name': 'Studio Pilates', 'survey:date': '2022-05-01'}",Studio Pilates,
1638722815,9706437417,-31.9357613,115.8709414,,"{'name': 'Nordhoff', 'shop': 'jewelry', 'survey:date': '2022-05-01', 'wheelchair': 'yes'}",Nordhoff,jewelry
1638722815,9706437418,-31.9357635,115.8711556,cafe,"{'amenity': 'cafe', 'name': 'Caffissimo', 'survey:date': '2022-05-01', 'wheelchair': 'yes'}",Caffissimo,
1638722815,9706437517,-31.9356777,115.871569,coworking_space,"{'amenity': 'coworking_space', 'name': 'Thrive', 'survey:date': '2022-05-01'}",Thrive,
1638722815,9706437518,-31.9357768,115.8715065,,"{'name': 'Organic Way', 'shop': 'hairdresser', 'survey:date': '2022-05-01'}",Organic Way,hairdresser
1638722815,9708218547,-31.9366673,115.8706037,,"{'artist_name': 'Gillie and Marc', 'artwork_type': 'sculpture', 'material': 'metal', 'name': 'Dog and Rabbit', 'tourism': 'artwork'}",Dog and Rabbit,
1638722815,9708218555,-31.9365591,115.8706654,,"{'name': 'Jacaranda', 'natural': 'tree'}",Jacaranda,
1638722815,10970357322,-31.9359957,115.8715912,cafe,"{'amenity': 'cafe', 'check_date': '2023-06-12', 'name': 'Modus', 'outdoor_seating': 'yes', 'wheelchair': 'yes'}",Modus,
1638722815,10970357323,-31.9359743,115.8710503,,"{'beauty': 'nails', 'check_date': '2023-06-12', 'name': 'Nails on Beaufort', 'shop': 'beauty'}",Nails on Beaufort,beauty
1638722815,10970357324,-31.936046,115.8709979,,"{'check_date': '2023-06-24', 'name': 'Anomalous Studio', 'shop': 'hairdresser'}",Anomalous Studio,hairdresser
1638722815,10970357325,-31.9362603,115.8706471,fast_food,"{'amenity': 'fast_food', 'brand': ""Hungry Jack's"", 'brand:wikidata': 'Q3036373', 'check_date': '2023-06-12', 'cuisine': 'burger', 'name': ""Hungry Jack's"", 'takeaway': 'yes'}",Hungry Jack's,
1638722815,11002613530,-31.9359251,115.8710768,,"{'check_date': '2023-06-24', 'name': ""Mel's Massage and Reflexology"", 'shop': 'massage'}",Mel's Massage and Reflexology,massage
1638722815,11002613531,-31.9360901,115.8709743,,"{'check_date': '2023-06-24', 'name': 'Meraki on Beaufort', 'shop': 'hairdresser'}",Meraki on Beaufort,hairdresser
1638722815,11002613532,-31.93614,115.870939,,"{'check_date': '2023-06-24', 'name': 'Ink and Bloom', 'shop': 'tattoo'}",Ink and Bloom,tattoo
1638722815,11092718805,-31.9360406,115.8714728,cafe,"{'addr:housenumber': '35/602', 'addr:postcode': '6050', 'addr:street': 'Beaufort Street', 'amenity': 'cafe', 'contact:instagram': 'modus.coffee', 'cuisine': 'coffee_shop', 'name': 'Modus Coffee', 'opening_hours': 'Sa-Su 07:00-14:00; Mo-Fr 06:30-14:00', 'website': 'https://modus.coffee/'}",Modus Coffee,
3203111051,3203111051,-32.0346555,115.8348552,charging_station,"{'amenity': 'charging_station', 'brand': 'ChargePoint', 'brand:wikidata': 'Q5176149', 'name': 'ChargePoint', 'operator': 'ChargePoint', 'operator:wikidata': 'Q5176149'}",ChargePoint,
3203111051,9526576733,-32.0340686,115.8342306,,"{'brand': 'Coles', 'brand:wikidata': 'Q1108172', 'brand:wikipedia': 'en:Coles Supermarkets', 'name': 'Coles', 'operator': 'Coles Group', 'operator:wikidata': 'Q1339055', 'shop': 'supermarket'}",Coles,supermarket
3203111051,9526576736,-32.0347767,115.8358445,,"{'brand': 'David Jones', 'brand:wikidata': 'Q5235753', 'brand:wikipedia': 'en:David Jones Limited', 'name': 'David Jones', 'shop': 'department_store'}",David Jones,department_store
3488644749,3939038621,-32.9364304,151.6441708,,"{'brand': 'Target', 'brand:wikidata': 'Q7685854', 'brand:wikipedia': 'en:Target Australia', 'name': 'Target', 'shop': 'department_store'}",Target,department_store
3488644749,3939038622,-32.9357666,151.6445403,bank,"{'amenity': 'bank', 'brand': 'Commonwealth Bank', 'brand:wikidata': 'Q285328', 'brand:wikipedia': 'en:Commonwealth Bank', 'name': 'Commonwealth Bank'}",Commonwealth Bank,
