id,properties.amenity,properties.brand,properties.description,properties.opening_hours,properties.short_name,properties.socket:type2,properties.socket:type1_combo,properties.socket:chademo,properties.socket:tesla,properties.addr:city,properties.addr:country,properties.addr:postcode,properties.addr:state,properties.location
node/9273513113,charging_station,Tesla Supercharger,Eaton Supercharger,,Tesla,6,,,,,,,,
node/9277136375,charging_station,,"Type2, non networked, 2 plugs. BYO Type 2 cable.
4h Parking. See plugshare for instructions",,,,,,,,,,,
node/9277136376,charging_station,,"Lakeside Joondalup - Myer Carpark, Type 2, non networked, 2 plugs. BYO Type 2 cable.

4h parking.

The bays are on the ground floor of the multi storey car park, area “C”, close to the entrance to the shops.

See plugshare for instructions.",,,,,,,,,,,
node/9278715200,charging_station,,,,,,,,,,,,,
node/9278741544,charging_station,,,,,,,,,,,,,
node/9278772628,charging_station,,,,,,,,,,,,,
node/9287553131,charging_station,,"Murray Bridge Visitor Centre, Circontrol Type 2 AC dual socket. 22kW per socket. Free charging until further notice",,,4,,,,,,,,
node/9290610873,charging_station,,Richmond Tavistock No. 3,,,,,1,,,,,,
node/9290676154,charging_station,,ANZAC Wise,,,,,,,,,,,
node/9290676155,charging_station,,Goodwood St,,,,,,,,,,,
node/9290790988,charging_station,,,,,,,,,,,,,
node/9291799180,charging_station,Tesla Supercharger,Tesla Supercharger,,Tesla,,,,,,,,,
node/9295253802,charging_station,,,,,,,,,,,,,
node/9309912420,charging_station,,,,,,,,,,,,,
node/9314985309,charging_station,Tesla Supercharger,Horsham Darlot St Supercharger,,Tesla,,,,,,,,,
node/9323036820,charging_station,,,,,,,1,,,,,,
node/9331261766,charging_station,,,,,,,,,,,,,
node/9344898113,charging_station,,,,,,,,,,,,,
node/9347175037,charging_station,,,,,,,,,,,,,
node/9354339800,charging_station,,,,,,,,,,,,,
node/9363608762,charging_station,,,,,,,,,,,,,
node/9366472089,charging_station,,,,,,,,,,,,,
node/9366873533,charging_station,,Chargefox Shell Cove,,,,,,,,,,,
node/9377947870,charging_station,chargefox,Light Square Charging Station,,,2,,,,,,,,
node/9377956590,charging_station,Tesla,Barunga West Council,,,,,,,,,,,
node/9377957708,charging_station,Chargefox,,,,2,,,,,,,,
node/9377978026,charging_station,Chargefox,,,,,,2,,,,,,
node/9377978027,charging_station,Chargefox,,,,2,,,,,,,,
node/9377982881,charging_station,,Grosvenor Gardens charger,,,,,,,,,,,
node/9377983050,charging_station,,,,,2,,,,,,,,
node/9377999297,charging_station,"Tesla, Inc.",,,Tesla,,,,,,,,,
node/9378018013,charging_station,,Yankalilla Council Chambers,,,,,,,,,,,
node/9378951502,charging_station,Jetcharge,,24/7,,22 kW,,,,,,,,
node/9380626727,charging_station,"Tesla, Inc.",Minlaton Charging Station,,Tesla,1,,,,,,,,
node/9380642063,charging_station,"Tesla, Inc.",Ardrossan Charging Station,,Tesla,1,,,,,,,,
node/9404724469,charging_station,,,,,,,,,,,,,
node/9408923628,charging_station,,,,,,,,,,,,,
node/9408929771,charging_station,,,,,,,,,,,,,
node/9413056471,charging_station,RAC,,,,,,,,,,,,
node/9426539670,charging_station,,Caiguna Roadhouse,,,,,,,,,,,
node/9426555291,charging_station,,,,,,,,,,,,,
node/9467315676,charging_station,Tesla Supercharger,Tesla Supercharger,,Tesla,,,,,,,,,
node/9470340169,charging_station,,,,,,,,,,,,,
node/9480216684,charging_station,,,,,,,,,,,,,
node/9481080902,charging_station,,,,,,,,,,,,,
node/9491233549,charging_station,,,24/7,,,,1,,,,,,
node/9491293057,charging_station,,,,,,,1,,,,,,
node/9514983917,charging_station,,,24/7,,,,yes,,,,,,
node/9521361334,charging_station,Tesla Destination Charger,,08:00-17:00,,,,,,,,,,
node/9533110008,charging_station,Tesla Supercharger,Tesla Supercharger,,Tesla,,,,,,,,,
node/9536966801,charging_station,,,,,,,,,,,,,
node/9546004749,charging_station,,,24/7,,,,1,,,,,,
node/9563743390,charging_station,,,,,,,,,,,,,
node/9576559983,charging_station,Veefil,,,,,,,,,,,,
node/9603490031,charging_station,,,,,,,,,,,,,
node/9607930796,charging_station,,,,,yes,,,,,,,,
node/9610280217,charging_station,,,,,,,,,,,,,
node/9610280317,charging_station,,,,,,,,,,,,,
node/9619986125,charging_station,"Tesla, Inc",,24/7,,,,,,,,,,
node/9653279214,charging_station,,,,,,,,,,,,,
node/9672846122,charging_station,,,,,,,,,,,,,
node/9679133660,charging_station,,,,,,,,,,,,,
node/9682654068,charging_station,,Harvey Parking Lot,,,1,,1,,,,,,
node/9682737335,charging_station,,,,,no,,,,,,,,
node/9682737336,charging_station,"Tesla, Inc.",Tesla Destination Charger,,Tesla,,,,,,,,,
node/9682737337,charging_station,"Tesla, Inc.",Tesla Destination Charger,,Tesla,,,,,,,,,
node/9704345344,charging_station,,,,,,,,,,,,,
node/9704706490,charging_station,,,24/7,,,,1,,,,,,
node/9710289580,charging_station,"Tesla, Inc.",Tesla Destination Charger,,Tesla,,,,,,,,,
node/9712759905,charging_station,,,,,,,,,,,,,
node/9712774534,charging_station,,,,,,,,,,,,,
node/9712993934,charging_station,,,,,1,,,,,,,,
node/9737993455,charging_station,,,,,,,,,,,,,
node/9738285222,charging_station,,,,,,,,,,,,,
node/9738634914,charging_station,,,,,,,2,,,,,,
node/9750631071,charging_station,,,,,,,,,,,,,
node/9765677232,charging_station,,,,,,,4,,,,,,
node/9765719405,charging_station,,,,,,,,,,,,,
node/9771012966,charging_station,,NRMA Tritium,,,,,,,,,,,
node/9771012967,charging_station,,NRMA Tritium,,,,,,,,,,,
node/9786977964,charging_station,,,,,,,,,,,,,
node/9787101923,charging_station,ChargePoint,,,,,,,,,,,,
node/9791477376,charging_station,,,,,,,2,,,,,,
node/9797555741,charging_station,,,,,,,2,,,,,,
node/9829541757,charging_station,,"Eat Street Northshore, 1 Tesla Connector, up to 22kW.
Available to the public. Self park.",,,,,,,,,,,
node/9835982929,charging_station,,,Mo-Tu off; We-Su 10:00-16:00,,,,1,,,,,,
node/9837441201,charging_station,,EHT - Ouse,,,,,1,,,,,,
node/9837441203,charging_station,,,24/7,,,,1,,,,7150,TAS,
node/9837441206,charging_station,Electric Highway Tasmania,,24/7,,1,,1,,,,7214,TAS,
node/9837441207,charging_station,,,,,,,,,,,,,
node/9843352654,charging_station,,BYO cables,,,,,,,,,,,
node/9852170665,charging_station,,,,,,,2,,,,,,
node/9863000835,charging_station,,,,,,,,,,,,,
node/9863034303,charging_station,,,,,,,2,,,,,,
node/9864969279,charging_station,"Tesla, Inc.","P2 blue, 4 destination chargers",,Tesla,,,,,,,,,
node/9880056998,charging_station,Charging the Regions,,,,,,1,,,,,,
node/9880389305,charging_station,"Tesla, Inc.",Tesla Destination Charger,,Tesla,,,,,,,,,
node/9898771270,charging_station,,,,,,,,,,,,,
node/9900811626,charging_station,,Wall PowerPoint in twenty two north. Was made available to hotel guests on request.,,,,,,,,,,,
node/9916436896,charging_station,,,,,,,,,,,,,
node/9930952737,charging_station,,,,,2,,,,,,,,
node/9930952738,charging_station,,,,,2,,,,,,,,
node/9930952741,charging_station,,,,,2,,,,,,,,
node/9932826382,charging_station,,,,,,,,,,,,,
node/9932826383,charging_station,,,,,,,,,,,,,
node/9932826384,charging_station,,,,,,,,,,,,,
node/9932826385,charging_station,,,,,,,,,,,,,
node/9939260096,charging_station,,,,,,,,,,,,,
node/9953777925,charging_station,,,,,,,,,,,,,
node/9958152708,charging_station,,Rhodes Central,,,,,,,,,,,
node/9960709498,charging_station,,,,,,,,,,,,,
node/9965036281,charging_station,,,,,,,1,,,,,,
node/9987263214,charging_station,"Tesla, Inc.",,,Tesla,,,,,,,,,
node/9996192046,charging_station,,,,,,,,,,,,,
node/10007469304,charging_station,,Marina Square,,,3,,,,,,,,
node/10007505419,charging_station,"Tesla, Inc.",Castle Towers,,Tesla,3,,,,,,,,
node/10007612223,charging_station,,,,,,,,,,,,,
node/10010196224,charging_station,Jetcharge,,,,2,,,,,,,,
node/10011175454,charging_station,,,,,,,,,,,,,
node/10026076729,charging_station,,,,,,,2,,,,,,
node/10035347983,charging_station,,,,,,,2,,,,,,
node/10042338532,charging_station,,,,,,,2,,,,,,
node/10048386532,charging_station,,,,,,,,,,,,,
node/10048907994,charging_station,Tesla Supercharger,,,Tesla,,,,,,,,,
node/10048914044,charging_station,,,,,,,1,,,,,,
node/10050161556,charging_station,,Rhodes Waterside,Mo-Su 06:00-00:00,,4,,,,,,,,
node/10060883781,charging_station,,,,,,,1,,,,,,
node/10062824393,charging_station,Charging the Regions,,,,,,1,,,,,,
node/10091269880,charging_station,,,,,,,,,,,,,
node/10091269881,charging_station,,,,,,,,,,,,,
node/10091269882,charging_station,,,,,,,,,,,,,
node/10095102213,charging_station,"Tesla, Inc.",Tesla Destination Charger,,Tesla,,,,,,,,,
node/10096554725,charging_station,,EHT - Maydena,,,1,,1,,,,,,
node/10100811799,charging_station,BP Pulse,BP Pulse,,,,,1,,,,,,
node/10118356075,charging_station,Charging the Regions,,,,,,1,,,,,,
node/10125281319,charging_station,,,,,,,,,,,,,
node/10125281321,charging_station,,,,,,,,,,,,,
node/10125281322,charging_station,,,,,,,,,,,,,
node/10136616439,charging_station,,,,,6,,,,,,,,
node/10147383653,charging_station,,,,,,,,,,,,,
node/10156617736,charging_station,BP Pulse,BP Pulse,,,,,1,,,,,,
node/10159370719,charging_station,,,,,,,1,,,,,,
node/10161079414,charging_station,,,,,1,,,,,,,,
node/10172694522,charging_station,Tesla Supercharger,Tesla Supercharger,,Tesla,,,,,,,,,
node/10177425298,charging_station,,,,,,,,,,,,,
node/10180304091,charging_station,,,,,,,,,,,,,
node/10180321115,charging_station,,,,,,,,,,,,,
node/10182377477,charging_station,Charging the Regions,,,,,,1,,,,,,
node/10182414072,charging_station,,,,,,,,,,,,,
node/10184502299,charging_station,,,,,,,2,,,,,,
node/10184521127,charging_station,,,,,,,2,,,,,,
node/10184551929,charging_station,,,,,,,1,,,,,,
node/10184611930,charging_station,,,,,,,,,,,,,
node/10184645214,charging_station,,,,,,,,,,,,,
node/10196181562,charging_station,,,,,,,,,,,,,
node/10203808935,charging_station,,,,,2,,2,,,,,,
node/10203818135,charging_station,,Bring your own cables,,,1,,,,,,,,
node/10203832127,charging_station,,,,,,,,,,,,,
node/10205558112,charging_station,Charging the Regions,,,,,,1,,,,,,
node/10205699729,charging_station,Charging the Regions,,,,,,,,,,,,
node/10208662680,charging_station,,,,,,,,,,,,,
node/10208698066,charging_station,,,,,,,2,,,,,,
node/10218282678,charging_station,BP Pulse,,,,,,1,,,,,,
node/10224669726,charging_station,,,,,,,,,,,,,
node/10224669728,charging_station,,,,,,,,,,,,,
node/10224962961,charging_station,Woolworths,,,,,,yes,,,,,,
node/10224962962,charging_station,Woolworths,,,,,,yes,,,,,,
node/10232012344,charging_station,,BP Pulse,,,,,,,,,,,
node/10234390097,charging_station,,,,,,,,,,,,,
node/10235078090,charging_station,,,,,1,,1,,,,,,
node/10241615471,charging_station,,,,,,,,,,,,,
node/10250262062,charging_station,,,,,,,,,,,,,
node/10250489983,charging_station,,,,,,,,,,,,,
node/10258355351,charging_station,Tesla Supercharger,Tesla Supercharger,,Tesla,,,,,,,,,
node/10263943171,charging_station,,,,,,,1,,,,,,
node/10263943172,charging_station,,,,,,,1,,,,,,
node/10269247316,charging_station,,,,,,,,,,,,,
node/10271676341,charging_station,Tesla Supercharger,,,Tesla,,,,,,,,,
node/10296267794,charging_station,,,,,,,,,,,,,
node/10301768369,charging_station,,,,,,,,,,,,,
node/10309600584,charging_station,Tesla Supercharger,,,Tesla,,,,,,,,,
node/10312526546,charging_station,,,,,2,,,,,,,,
node/10314029528,charging_station,,,,,,,,,,,,,
node/10561388116,charging_station,,,,,1,,,,,,,,
node/10563108217,charging_station,,,,,,,,,,,,,
node/10564461448,charging_station,"Tesla, Inc.",,,Tesla,,,,,,,,,
node/10575852367,charging_station,,No Telstra phone coverage in area so RFID needed,,,,,,,,,,,
node/10585020728,charging_station,,,,,,,,,,,,,
node/10590006365,charging_station,,,,,,,,,,,,,
node/10597363016,charging_station,,may be private?,,,1,,1,,,,,,
node/10600868218,charging_station,RAC,,,,,,,,,,,,
node/10606057530,charging_station,,,,,,,,,,,,,
node/10607603446,charging_station,,,,,,,,,,,,,
node/10628109252,charging_station,,,,,,,,,,,,,
node/10647829948,charging_station,,,,,,,1,,,,,,
node/10652018665,charging_station,,,,,,,,,,,,,
node/10665886981,charging_station,,,,,,,1,,,,,,
node/10687053371,charging_station,,,,,,,,,,,,,
node/10687069739,charging_station,,,,,,,,,,,,,
node/10687073170,charging_station,,,,,,,,,,,,,
node/10698083860,charging_station,Electrona,,24/7,,,,,,Bicheno,AU,,TAS,
node/10708226454,charging_station,,"City of Sydney on street charging, operated by CBRE. Meter ID 50354",,,,,,,,,,,
node/10717941533,charging_station,,,,,,,,,,,,,
node/10720208509,charging_station,,,,,,,,,,,,,
node/10720898724,charging_station,,,,,,,1,,,,,,
node/10723068483,charging_station,,,,,,,,,,,,,
node/10724628252,charging_station,,,,,,,1,,,,,,
node/10724639943,charging_station,,,,,,,2,,,,,,
node/10724955406,charging_station,,,,,,,,,,,,,
node/10738276283,charging_station,,EV charging station. Not yet active as of 2/June/2023,,,,,2,,,,,,
node/10744208052,charging_station,,,,,,,,,,,,,
node/10744312168,charging_station,,,,,,,2,,,,,,
node/10744341618,charging_station,,,,,,,1,,,,,,
node/10744548980,charging_station,,,,,2,,1,,,,,,
node/10744578942,charging_station,,,,,,,,,,,,,
node/10744581205,charging_station,,,,,4,,,,,,,,
node/10744595484,charging_station,,,,,,,,,,,,,
node/10744604228,charging_station,,,,,1,,1,,,,,,
node/10744631135,charging_station,Tesla Supercharger,,,Tesla,,,,,,,,,
node/10747234585,charging_station,Engie,,,,,,1,,,,,,
node/10747930958,charging_station,"Tesla, Inc.",,,Tesla,,,,,,,,,
node/10750707216,charging_station,,,,,,,,,,,,,
node/10750707217,charging_station,,,,,,,,,,,,,
node/10770078050,charging_station,,,,,,,1,,,,,,
node/10770496461,charging_station,,,,,1,,1,,,,,,
node/10770515438,charging_station,,,,,1,,1,,,,,,
node/10772373678,charging_station,ABB,,,,1,,1,,,,,,
node/10772401236,charging_station,,,,,,,1,,,,,,
node/10772422189,charging_station,,,,,4,,,,,,,,
node/10772464492,charging_station,Kempower,,,,,,2,,,,,,
node/10774220953,charging_station,Tesla Supercharger,,,Tesla,,,,,,,,,
node/10778712392,charging_station,,,,,,,,,,,,,
node/10778861141,charging_station,ChargePoint,,,,,,,,,,,,
node/10779001859,charging_station,EVlink,,,,,,,,,,,,
node/10780543260,charging_station,,,,,,,,,,,,,
node/10783513810,charging_station,,,,,,,,,,,,,
node/10792695777,charging_station,,,,,,,,,,,,,
node/10796609690,charging_station,EVUp,,,,,,,,,,,,
node/10800544064,charging_station,,,,,,,,,,,,,
node/10807470662,charging_station,BP Pulse,,,,,,,,,,,,
node/10807822822,charging_station,,,,,,,,,,,,,
node/10815538922,charging_station,Tesla Supercharger,South Point Tuggeranong Supercharger,24/7,Tesla,,,,,,,,,
node/10815562193,charging_station,Tesla Supercharger,Tesla Supercharger,,Tesla,,,,,,,,,
node/10815638128,charging_station,Tesla Supercharger,Tesla Supercharger,,Tesla,,,,,,,,,
node/10815896313,charging_station,"Tesla, Inc.",,,Tesla,,,,,,,,,
node/10815896314,charging_station,"Tesla, Inc.",,,Tesla,,,,,,,,,
node/10817075802,charging_station,"Tesla, Inc.",,,Tesla,,,,,,,,,
node/10840954672,charging_station,,,,,,,,,,,,,
node/10841728252,charging_station,,,,,,,,,,,,,
node/10856712697,charging_station,Tesla Supercharger,,,Tesla,,,,,,,,,
node/10861584624,charging_station,,,,,,,2,,,,,,
node/10861761260,charging_station,Tesla Supercharger,,,Tesla,,,,,,,,,
node/10863588015,charging_station,,,,,,,,,,,,,
node/10863607717,charging_station,,,,,,,,,,,,,
node/10864661364,charging_station,,,,,,,,,,,,,
node/10872527226,charging_station,BP pulse,,,,,,,,,,,,
node/10892673392,charging_station,,,,,,,1,,,,,,
node/10892824559,charging_station,,,,,,,1,,,,,,
node/10895054616,charging_station,,,,,,,,,,,,,
node/10899273472,charging_station,,,,,,,,,,,,,
node/10907235224,charging_station,BP Pulse,,,,,,,,,,,,
node/10909787138,charging_station,BP Pulse,,,,,,,,,,,,
node/10919805054,charging_station,,,,,,,,,,,,,
node/10923020181,charging_station,BP Pulse,,,,,,,,,,,,
node/10923045686,charging_station,,,,,4,,,,,,,,
node/10923134040,charging_station,,,,,,,2,,,,,,
node/10923255879,charging_station,,,,,,,2,,,,,,
node/10923455696,charging_station,,,,,,,,,,,,,
node/10923467119,charging_station,,,,,,,1,,,,,,
node/10923519868,charging_station,,,,,,,1,,,,,,
node/10923543492,charging_station,,,,,,,1,,,,,,
node/10923549956,charging_station,,,,,,,1,,,,,,
node/10924895189,charging_station,,,,,,,,,,,,,
node/10925453549,charging_station,Tesla,,24/7,,,,,,,,,,
node/10925612987,charging_station,,,,,,,1,,,,,,
node/10925613031,charging_station,,,,,,,1,,,,,,
node/10925614342,charging_station,,,,,,,,,,,,,
node/10925614395,charging_station,,,,,,,1,,,,,,
node/10925625893,charging_station,,,,,,,1,,,,,,
node/10925645681,charging_station,,,,,,,1,,,,,,
node/10925657911,charging_station,,,,,,,1,,,,,,
node/10925696347,charging_station,,,,,,,1,,,,,,
node/10925720436,charging_station,,,,,,,,,,,,,
node/10927958414,charging_station,,,,,,,2,,,,,,
node/10931032796,charging_station,,,,,,,,,,,,,
node/10931072151,charging_station,,,,,,,1,,,,,,
node/10933923525,charging_station,,,,,,,1,,,,,,
node/10937312713,charging_station,,,,,,,,,,,,,
node/10938919622,charging_station,BP Pulse,,,,,,,,,,,,
node/10938996112,charging_station,,,,,,,1,,,,,,
node/10943436950,charging_station,,,,,,,,,,,,,
node/10943888598,charging_station,,,,,,,,,,,,,
node/10948726931,charging_station,,,,,,,,,,,,,
node/10956385611,charging_station,,,24/7,,,,1,,,,,,
node/10956647220,charging_station,,,,,,,2,,,,,,
node/10959087488,charging_station,BP Pulse,,,,,,,,,,,,
node/10967531522,charging_station,,,,,,,,,,,,,
node/10971491088,charging_station,,,,,,,,,,,,,
node/10977915310,charging_station,,,,,,,1,,,,,,
node/10984470645,charging_station,BP Pulse,,,,,,,,,,,,
node/10992560808,charging_station,,,,,,,,,,,,,
node/11004256023,charging_station,,,,,,,1,,,,,,
node/11016679900,charging_station,,,,,,,,,,,,,
node/11016758544,charging_station,,,,,,,,,,,,,
node/11016872776,charging_station,Jolt,,,,,,,,,,,,
node/11021093600,charging_station,,,,,,,1,,,,3393,VIC,
node/11021194892,charging_station,,,,,,,1,,,,,,
node/11041250798,charging_station,,,,,,,,,,,,,
node/11043365400,charging_station,Tesla Supercharger,,,Tesla,,,,,,,,,
node/11043399301,charging_station,Tesla Supercharger,,,Tesla,,,,,,,,,
node/11043868290,charging_station,,,,,,,1,,,,,,
node/11048936553,charging_station,Engie,,,,,,,,,,,,
node/11049081033,charging_station,,,,,,,,,,,,,
node/11049270181,charging_station,,,24/7,,,,1,,,,,,
node/11049290237,charging_station,,,,,,,,,,,,,
node/11049292149,charging_station,,,24/7,,,,1,,,,,,
node/11049294289,charging_station,,,,,,,,,,,,,
node/11050379972,charging_station,,,,,,,1,,,,,,
node/11055831302,charging_station,,,,,,,1,,,,,,
node/11060799096,charging_station,,,,,,,,,,,,,
node/11073160376,charging_station,,,,,,,,,,,,,
node/11079299253,charging_station,,,,,,,,,,,,,
node/11085593508,charging_station,Tesla Supercharger,,,Tesla,,,,,,,,,
node/11092548399,charging_station,Ezy Charger,,,,,,,,,,,,
node/11108914408,charging_station,Jolt,,,,,,,,,,,,
node/11117784408,charging_station,,,,,,,1,,,,,,
node/11118158089,charging_station,,,,,,,1,,,,,,
node/11119093383,charging_station,,,,,,,,,,,,,
node/11129264613,charging_station,,,,,,,1,,,,,,
node/11129535113,charging_station,,,,,,,,,,,,,
node/11135601782,charging_station,,"2 off 5kW chargers, free",,,,,,,,,,,
node/11137132736,charging_station,,,,,,,2,,,,,,
node/11137421689,charging_station,,,,,,,,,,,,,
node/11137421690,charging_station,,,,,,,,,,,,,
node/11140163995,charging_station,Electric Highway Tasmania,,,,2,,2,,,,7050,TAS,
node/11140224982,charging_station,"Tesla, Inc.",,,Tesla,,,,,,,,,
node/11140229945,charging_station,,,24/7,,,,,,,,,,
node/11142742081,charging_station,,,,,2,,,,,,,,
